contractMonth,currency,evMultiplier,evRule,exchange,expiry,liquidHours,longName,minTick,secType,symbol,timeZoneId,tradingHours,underConId
201612,USD,0,,GLOBEX,20161216,"20161116:0830-1515,1530-1600;20161117:0830-1515,1530-1600",E-mini S&P Midcap 400 Futures,0.1,FUT,EMD,CST,"20161116:1700-1515,1530-1600;20161117:1700-1515,1530-1600",14218823
201612,USD,0,,ECBOT,20161216,"20161116:0830-1515,1530-1600;20161117:0830-1515,1530-1600",Mini Sized Dow Jones Industrial Average $5,1,FUT,YM,CST,"20161116:1700-1515,1530-1600;20161117:1700-1515,1530-1600",14721310
201701,USD,0,,NYMEX,20161230,20161116:0930-1700;20161117:0930-1700,Heating Oil,0.0001,FUT,HO,EST5EDT,20161116:1800-1700;20161117:1800-1700,36552987
201612,USD,0,,GLOBEX,20161219,20161116:0830-1600;20161117:0830-1600,British pound,0.0001,FUT,GBP,CST,20161116:1700-1600;20161117:1700-1600,12087797
201612,USD,0,,NYMEX,20161228,20161116:0930-1700;20161117:0930-1700,NYMEX Copper Index,0.0005,FUT,HG,EST5EDT,20161116:1800-1700;20161117:1800-1700,36557087
201702,USD,0,,GLOBEX,20170214,20161116:0830-1305;20161117:0830-1305,Lean Hogs,0.00025,FUT,HE,CST,20161116:0830-1305;20161117:0830-1305,32612382
201702,USD,0,,GLOBEX,20170228,20161116:0830-1305;20161117:0830-1305,Live Cattle,0.00025,FUT,LE,CST,20161116:0830-1305;20161117:0830-1305,33221066
201701,USD,0,,ECBOT,20170113,20161116:0830-1320;20161117:0830-1320,Soybean Futures,0.0025,FUT,ZS,CST,"20161116:1900-0745,0830-1320;20161117:1900-0745,0830-1320",11160664
201701,USD,0,,NYMEX,20161228,20161116:0930-1700;20161117:0930-1700,Henry Hub Natural Gas,0.001,FUT,NG,EST5EDT,20161116:1800-1700;20161117:1800-1700,36552980
201612,USD,0,,NYMEX,20161228,20161116:0930-1700;20161117:0930-1700,NYMEX Palladium Index,0.05,FUT,PA,EST5EDT,20161116:1800-1700;20161117:1800-1700,36557097
201701,USD,0,,NYMEX,20161230,20161116:0930-1700;20161117:0930-1700,NYMEX RBOB Gasoline Index,0.0001,FUT,RB,EST5EDT,20161116:1800-1700;20161117:1800-1700,36586917
201612,USD,0,,GLOBEX,20161216,"20161116:0830-1515,1530-1600;20161117:0830-1515,1530-1600",E-mini NASDAQ 100 Futures,0.25,FUT,NQ,CST,"20161116:1700-1515,1530-1600;20161117:1700-1515,1530-1600",11004958
201612,USD,0,,GLOBEX,20161220,20161116:0830-1600;20161117:0830-1600,CAD.USD Forex,5E-05,FUT,CAD,CST,20161116:1700-1600;20161117:1700-1600,15016251
201701,USD,0,,NYMEX,20170127,20161116:0930-1700;20161117:0930-1700,NYMEX Platinum Index,0.1,FUT,PL,EST5EDT,20161116:1800-1700;20161117:1800-1700,36557100
201612,USD,0,,ECBOT,20161214,20161116:0830-1320;20161117:0830-1320,Soybean Oil Futures,0.0001,FUT,ZL,CST,"20161116:1900-0745,0830-1320;20161117:1900-0745,0830-1320",11160669
201612,USD,0,,ECBOT,20161214,20161116:0830-1320;20161117:0830-1320,Soybean Meal Futures,0.1,FUT,ZM,CST,"20161116:1900-0745,0830-1320;20161117:1900-0745,0830-1320",11160676
201612,USD,0,,ECBOT,20161220,20161116:0830-1600;20161117:0830-1600,10 Year US Treasury Note,0.015625,FUT,ZN,CST,20161116:1700-1600;20161117:1700-1600,11078390
201612,USD,0,,GLOBEX,20161219,20161116:0830-1600;20161117:0830-1600,Australian dollar,0.0001,FUT,AUD,CST,20161116:1700-1600;20161117:1700-1600,14433401
201612,USD,0,,GLOBEX,20161219,20161116:0830-1600;20161117:0830-1600,Swiss franc,0.0001,FUT,CHF,CST,20161116:1700-1600;20161117:1700-1600,12087802
201701,USD,0,,NYMEX,20161220,20161116:0930-1700;20161117:0930-1700,Light Sweet Crude Oil,0.01,FUT,CL,EST5EDT,20161116:1800-1700;20161117:1800-1700,17340715
201612,USD,0,,ECBOT,20161230,20161116:0830-1600;20161117:0830-1600,5 Year US Treasury Note,0.0078125,FUT,ZF,CST,20161116:1700-1600;20161117:1700-1600,11078387
201612,USD,0,,ECBOT,20161220,20161116:0830-1600;20161117:0830-1600,30 Year US Treasury Bond,0.03125,FUT,ZB,CST,20161116:1700-1600;20161117:1700-1600,11078381
201703,USD,0,,ECBOT,20170314,20161116:0830-1320;20161117:0830-1320,Corn Futures,0.0025,FUT,ZC,CST,"20161116:1900-0745,0830-1320;20161117:1900-0745,0830-1320",11160400
201701,USD,0,,GLOBEX,20170126,20161116:0830-1305;20161117:0830-1305,Feeder Cattle,0.00025,FUT,GF,CST,20161116:0830-1305;20161117:0830-1305,32612420
201612,USD,0,,NYMEX,20161228,20161116:0930-1700;20161117:0930-1700,Gold,0.1,FUT,GC,EST5EDT,20161116:1800-1700;20161117:1800-1700,17340718
201612,USD,0,,GLOBEX,20161219,20161116:0830-1600;20161117:0830-1600,New Zealand dollar,0.0001,FUT,NZD,CST,20161116:1700-1600;20161117:1700-1600,39453441
201612,USD,0,,ECBOT,20161230,20161116:0830-1600;20161117:0830-1600,2 Year US Treasury Note,0.0078125,FUT,ZT,CST,20161116:1700-1600;20161117:1700-1600,11160388
201612,USD,0,,ECBOT,20161214,20161116:0830-1320;20161117:0830-1320,Wheat Futures,0.0025,FUT,ZW,CST,"20161116:1900-0745,0830-1320;20161117:1900-0745,0830-1320",11160683
201612,USD,0,,GLOBEX,20161216,"20161116:0830-1515,1530-1600;20161117:0830-1515,1530-1600",E-mini S&P 500,0.25,FUT,ES,CST,"20161116:1700-1515,1530-1600;20161117:1700-1515,1530-1600",11004968
201612,USD,0,,GLOBEX,20161219,20161116:0830-1600;20161117:0830-1600,European Monetary Union Euro,5E-05,FUT,EUR,CST,20161116:1700-1600;20161117:1700-1600,12087792
201612,USD,0,,GLOBEX,20161219,20161116:0830-1600;20161117:0830-1600,MXP.USD Forex,1E-05,FUT,MXP,CST,20161116:1700-1600;20161117:1700-1600,35045201
201612,USD,0,,GLOBEX,20161219,20161116:0830-1600;20161117:0830-1600,JPY.USD Forex,5E-07,FUT,JPY,CST,20161116:1700-1600;20161117:1700-1600,15016105
201612,USD,0,,NYMEX,20161228,20161116:0930-1700;20161117:0930-1700,NYMEX Silver Index,0.005,FUT,SI,EST5EDT,20161116:1800-1700;20161117:1800-1700,36557082
201612,JPY,0,,GLOBEX,20161208,20161116:0830-1600;20161117:0830-1600,Yen Denominated Nikkei 225 Index,5,FUT,NIY,CST,20161116:1700-1600;20161117:1700-1600,28001490
